id,query,ground_truth,expect_key_words,expect_sources,description
0,2024珠海草莓音乐节来了哪些明星？,2024珠海草莓音乐节来阿弗娄、阿肆、草东没有派对、陈楚生、陈粒等明星。,阿弗娄||阿肆||草东没有派对||陈楚生||陈粒,,
1,本来无一物何处惹尘埃的完整诗句是什么？,"这句诗句出自唐代禅宗六祖慧能的《菩提偈》。完整的诗句是:""菩提本无树，明镜亦非台。
本来无一物，何处惹尘埃!""",菩提本无树&&明镜亦非台,,
2,福建晋江灵水中学一初中女生遭霸凌跳楼去世是什么时候？,2024福建晋江灵水中学一初中女生遭霸凌跳楼去世的事件发生在2024年3月24日22时。,3月24日,,
3,那歌鱼是海鱼吗？,是的，那歌鱼是海鱼。,是,,
4,四面楚歌的主人公是谁？,四面楚歌的主人公是西楚霸王项羽。,项羽,,
5,跟领导吃饭座位安排图,"中餐宴请座次安排
主陪(通常是领导)坐在面对大门的位置
副主陪(通常是主陪的助手)坐在主陪的对面
1号客人坐在主陪的右手边
2号客人坐在主陪的左手边
3号客人坐在副主陪的右手边
4号客人坐在副主陪的左手边
其他客人可以随意安排",右,,
6,2024年4月15日是黄道吉日吗？,2024年4月15日是黄道吉日。,是,,
7,风水轮流转同义词有哪些？,风水轮流转的同义词包括“否极泰来”、“物极必反”、“柳暗花明”、“绝处逢生”、“苦尽甘来”和“绝地反击”。其他类似的词还有“三十年河东三十年河西”、“风水轮流”和“十年河东十年河西”。,三十年河东||咸鱼翻身||苦尽甘来||时来运转||此一时彼一时||时来运转||枯木逢春,,
8,珠海华融时代广场多少米？,珠海华融时代广场的建筑高度为196米。,196,,
9,相亲时媒婆说女方长得有福气，这是什么意思？,相亲时媒婆说女方长得有福气，通常指女方看起来健康、体态丰满、体型偏胖。,胖||吃||丰满,,
10,为什么工地开工要祭拜？,工地开工要祭拜的原因主要是为了向土地神灵、过往鬼魂以及凶神恶煞告知即将在此地兴工建宅，避免冒犯这些神灵和鬼魂，同时请求他们的协助，希望工程能够顺利开展，并驱逐可能存在的煞气和秽气。此外，烧香祭拜是一种与神明连接的桥梁，通过这种方式表达对神明的敬意和祈求保佑,神||鬼,,
11,巴浪鱼是哪里的方言？,巴浪鱼是福建和潮汕地区的方言。,潮汕||福建||福州,,
12,2024珠海居民医保每年缴费多少钱？,2024年珠海市居民医保的个人缴费标准为城乡居民每人每年530元。学生和未成年人的个人缴费标准为每人每年380元。,530&&380,,
13,跟领导吃饭，转盘是顺时针转，还是逆时针转？,跟领导吃饭时，转盘应该顺时针转。,顺时针,,
14,黄花大闺女黄花是指什么花？,"""黄花大闺女""中的""黄花""通常指的是菊花。古代中国认为菊花能傲霜耐寒，是高洁雅致的象征，因此用""黄花""来代表未出嫁的少女。",菊花,,
15,2024年武汉女子裸体现身商场发生在哪一天？,2024年武汉女子裸体现身商场的事件发生在3月25日。,3月25日,,
16,卧薪尝胆的主人公是谁？,卧薪尝胆的主人公是越王勾践。,勾践,,
17,相亲时媒婆说男方会疼人，这是什么意思？,"当媒婆说男方""很会疼人""时，这通常意味着一个警告信号，表示该男性可能是离异人士。",年纪大||离过婚||离婚||离异,,
18,2024年MBA国家线？,A区分数线为162分，B区分数线为152分。,162&&152,,
